叶子类目名称,按订单量加权价格中位数,过滤后总订单量,过滤后样本行数 (1),过滤后样本行数
驱猫剂,17.666667,52,10,
驱蚊喷雾,14.100657,796,28,
驱蚊手环,17.356111,117,30,
驴肉类,92.307692,30,6,
驻车制动器,147.32,1,1,
驼奶,831.862018,163,10,
驼奶片/干,81.627451,75,4,
驼奶粉,299,261,26,
驾驶室脚踏板,38,33,22,
驾驶技能,15.99,3,1,
驾驶证件套,6.11,139,43,
验孕棒/验孕仪器,20.566104,88,3,
验孕试纸/排卵试纸,34.24,184,15,
骑士护具,70.176923,469,155,
骑士服,109,6,4,
骑行手机支架,18.418462,1017,223,
骑行服,93.5,558,287,
骑行眼镜/防风镜,32.4,718,164,
骑行面罩/帽,12.200097,1440,153,
骑行鞋,172,14,11,
骨雕/骨制品,85.394444,51,18,
高丽参及其制品,78.4,29,12,
高位刹车灯,10,1,1,
高低床/子母床,1899,8,8,
高光,13.315066,3176,139,
高压锅,127.131778,393,83,
高尔夫手套,24.9,17,12,
高尔夫杆套,45.9,1,1,
高尔夫球,252,22,17,
高尔夫球杆,1880,1,1,
高尔夫球迷用品,132.857143,18,7,
高尔夫球钉,53.55,3,2,
高弹力橡筋,16.9,57,38,
高拍仪,881.1,5,2,
高等成人教育,7.239677,45,9,
高等法律教材,46.5,2,1,
高粱米,30.072264,63,4,
高脚凳,25.76,2,2,
高跟鞋,99.171429,8907,2105,
魔术玩具,56.083562,166,56,
魔芋制品,17.145571,1116,171,
鱼,14.258065,7829,1824,
鱼子酱,82.993,156,29,
鱼干,28.166077,2503,220,
鱼护,13.6,360,151,
鱼桶,17.061538,337,110,
鱼类,71.730009,6752,603,
鱼类制品,68.258889,3194,107,
鱼类罐头,27.669735,1413,39,
鱼类零食,25.774107,7026,445,
鱼籽包/芝士丸,45.992735,224,2,
鱼粮/饲料,13.215258,1903,436,
鱼糜及鱼糜制品,39.957143,1203,113,
鱼线,15.021408,3976,1353,
鱼线轮,82.651429,744,242,
鱼缸/水族箱,79.014389,2101,259,
鱼缸捞鱼网,11.66,21,9,
鱼肉肠,38.713913,40,7,
鱼肝油,234,1,1,
鱼腥草,24.385714,73,27,
鱼钩,13.5,6588,2187,
鱼露,28.554167,152,8,
鱼（特种养殖）,31.705714,17,6,
鱿鱼干,68.8,124,33,
鱿鱼类零食,25.415937,618,106,
鲍鱼,7,2,1,
鲍鱼干,56,36,11,
鲍鱼果,25.6,7,4,
鲜冬虫夏草,316.666667,6,3,
鲜果切,34.88,32,11,
鲜枣,9.743037,1860,23,
鲜核桃,22.228571,44,9,
鲜榴莲,75.716264,11563,334,
鲜玉米,18.68182,12202,183,
鲜花拱门,588,1,1,
鲜花椒,28.6,19,13,
鲜花速递(同城),47.1,297,65,
鲜花饼,16.624651,241,41,
鲜菌菇,22.627879,350,45,
鲨鱼裤/打底裤,29.317625,7383,1549,
鸟玩具,6.100921,130,34,
鸟用保健品,16.8,111,33,
鸟用出行用品,12.2,34,24,
鸟用喂食器/喂水器,8.714597,570,79,
鸟窝,9.8,112,39,
鸟笼,42.579167,284,158,
鸟食,17.382353,1634,295,
鸡内脏,29.044727,84,17,
鸡内金,46.522121,79,13,
鸡头,24.067907,61,5,
鸡头米/新鲜芡实,70.588611,172,15,
鸡排,44.640588,2021,75,
鸡爪,31.729009,936,67,
鸡精/味精,16.5,274,80,
鸡翅,32.988644,253,33,
鸡肉制品,49.604652,14191,264,
鸡肉零食,24.773514,18421,1080,
鸡胸,54.456774,193,17,
鸡腿,59.61415,228,22,
鸡蛋,47.685932,4013,146,
鸡血藤,21.12,56,15,
鸭头,32,1,1,
鸭掌,27.974138,69,2,
鸭肉制品,25.89,934,34,
鸭肉零食,18.423636,21745,829,
鸭肠,27,4,2,
鸭胗,12.55,1,1,
鸭脖,25.257143,12,5,
鸭腿/鸭翅,37.8,3,3,
鸭蛋,24.9,20,11,
鸭血,7.318,5,1,
鸽类,71.776,128,20,
鸽蛋,85,36,8,
鹅内脏,12.724457,150,6,
鹅卵石,40,12,3,
鹅头,29.99,6,2,
鹅肉制品,72.147541,263,17,
鹅肉类零食,59.22,527,42,
鹅腿/鹅翅,72.775,18,2,
鹅蛋,90.13125,107,24,
鹌鹑类,38.24,10,2,
鹌鹑蛋,19.964,111,5,
鹦鹉,42,347,66,
鹦鹉（特种养殖）,172.8,200,41,
鹿制膏/鹿制品,48.97,33,16,
鹿肉类,216.545455,85,6,
鹿茸枝,152.897436,94,9,
鹿茸片,63.716667,100,14,
麦克风/话筒,149.25,361,96,
麦冬,26.8,1226,56,
麦类粉/面粉,19.67875,5465,159,
麻将,32.9,68,47,
麻将垫,17.77,97,47,
麻将尺,125,5,5,
麻将桌,158,1,1,
麻花,15.20917,1231,106,
麻薯/大福/青团,16.743883,1891,62,
麻辣烫/麻辣拌,31.064615,112,19,
黄油,19.802927,669,34,
黄油枪,198,4,3,
黄瓜,13.342891,2717,91,
黄皮果,14.9,1,1,
黄精,108.17049,2809,79,
黄糖包,18.8,12,7,
黄芩,26,11,6,
黄芪,22.685,2258,118,
黄茶,100.789474,125,10,
黄豆,15.298066,994,66,
黄酒,77.678748,770,48,
黑头仪,50.575,29,4,
黑巧克力,20.379147,1001,114,
黑木耳,14.859417,5091,50,
黑板,28.51,32,24,
黑米,18.285714,342,21,
黑糖姜茶,17.9,6,4,
黑胶唱片机,2358.4,1,1,
黑芝麻,22.7022,226,5,
黑茶,57.375,173,53,
黑莓,57.896667,21,3,
黑蒜,25.8,2,2,
黑豆,6.5525,216,41,
鼓架,56.444444,20,3,
鼓棒,29.9,14,11,
鼓皮,130,3,2,
鼠标,68.473333,888,171,
鼠标垫/贴/腕垫,60.581232,2956,494,
鼠类活体,57.230769,200,59,
鼻夹,5.193333,10,5,
鼻毛修剪器,9.332366,486,33,
鼻罩,18.447826,73,16,
鼻腔清洁及用具,12.741919,5481,106,
鼻部护理,38.053571,248,31,
龙头配件,9.033269,100,17,
龙宫果,43.8,3,3,
龙眼,11.306452,92,4,
龙眼肉（桂圆）,20.450192,108,12,
龙舌兰/Tequila,378,1,1,
龙舟,39.92,5,1,
龙须菜,9.305,151,9,
龟/鳖,26,1085,207,
龟苓膏,14.861538,24,5,
